customer_id,age,job,credit_amount,duration,housing,purpose,risk,is_default
233,54,skilled,3807,35,free,business,good,0
234,49,skilled,8874,10,own,furniture,good,0
235,50,skilled,17277,12,own,furniture,good,0
236,18,skilled,15825,59,free,business,good,0
237,36,highly skilled,3424,31,rent,business,good,0
238,19,unskilled,18652,28,rent,furniture,good,0
239,61,highly skilled,4781,57,own,vacation,good,0
240,43,unemployed,8780,33,rent,car,good,0
241,49,unskilled,16969,29,rent,car,good,0
242,23,unskilled,4187,38,own,education,bad,1
243,49,highly skilled,16481,18,free,furniture,good,0
244,21,unemployed,619,54,rent,furniture,good,0
245,28,skilled,8779,39,free,vacation,good,0
246,34,unemployed,9870,18,own,car,good,0
247,55,highly skilled,17795,36,rent,vacation,good,0
248,41,highly skilled,3865,34,rent,vacation,good,0
249,22,highly skilled,13148,36,free,car,bad,1
250,69,skilled,8616,53,free,car,good,0
251,51,unskilled,19466,36,own,vacation,good,0
252,23,unemployed,5291,29,free,business,bad,1
253,39,unemployed,18626,51,own,business,bad,1
254,28,skilled,1234,35,rent,education,good,0
255,65,highly skilled,11851,12,own,car,bad,1
256,33,unemployed,552,25,rent,furniture,good,0
257,50,unskilled,18621,7,free,vacation,good,0
258,26,unemployed,14518,23,rent,business,good,0
259,23,highly skilled,4496,17,own,business,good,0
260,33,unemployed,18848,59,free,car,bad,1
261,46,highly skilled,5468,26,own,vacation,good,0
262,20,unskilled,11561,44,own,education,good,0
263,37,skilled,14055,24,own,furniture,good,0
264,53,highly skilled,5233,11,own,business,good,0
265,36,highly skilled,9404,14,rent,furniture,good,0
266,43,unemployed,12839,57,own,furniture,good,0
267,20,skilled,6627,9,own,education,good,0
268,36,highly skilled,13189,25,rent,furniture,good,0
269,37,unemployed,6342,8,own,car,good,0
270,49,unskilled,7780,14,free,education,good,0
271,24,skilled,15058,32,free,vacation,bad,1
272,69,unemployed,10709,10,own,furniture,good,0
273,58,skilled,6828,9,rent,education,bad,1
274,50,highly skilled,4991,24,rent,car,good,0
275,57,unemployed,11052,42,own,car,good,0
276,56,unskilled,18105,21,rent,furniture,good,0
277,35,unskilled,8600,58,free,furniture,bad,1
278,57,unemployed,15930,27,own,vacation,bad,1
279,18,unemployed,5305,21,rent,car,good,0
280,28,skilled,19496,26,free,vacation,good,0
281,45,unemployed,10248,39,own,education,good,0
282,42,skilled,13651,10,free,education,good,0
283,67,highly skilled,4301,21,own,furniture,good,0
284,40,unemployed,7026,7,own,vacation,bad,1
285,48,highly skilled,18114,18,own,business,bad,1
286,47,unskilled,18769,37,rent,business,bad,1
287,59,skilled,4003,56,rent,car,good,0
288,52,skilled,8172,19,free,business,good,0
289,24,unskilled,6059,26,own,furniture,good,0
290,33,highly skilled,2979,9,own,furniture,good,0
291,43,skilled,6287,47,free,car,good,0
292,65,unskilled,11529,15,rent,business,good,0
293,69,unskilled,10730,51,own,vacation,good,0
294,66,unskilled,16314,21,own,vacation,good,0
295,19,unemployed,10463,16,free,vacation,good,0
296,18,highly skilled,14958,38,free,furniture,bad,1
297,65,unskilled,1200,27,own,business,good,0
298,29,highly skilled,7491,58,own,education,good,0
299,22,skilled,12055,55,rent,vacation,bad,1
300,54,unemployed,9653,57,free,business,bad,1
301,49,unskilled,18862,16,rent,furniture,good,0
302,26,unskilled,14479,33,rent,business,good,0
303,58,unskilled,4704,39,free,education,good,0
304,52,skilled,2396,46,rent,education,good,0
305,36,unemployed,11579,16,rent,car,bad,1
306,65,highly skilled,1649,12,own,furniture,bad,1
307,33,highly skilled,4328,20,free,business,good,0
308,20,highly skilled,6970,25,own,vacation,good,0
309,37,highly skilled,7291,21,own,business,good,0
310,41,highly skilled,3847,34,own,education,bad,1
311,50,highly skilled,12849,10,rent,car,good,0
312,41,highly skilled,3646,26,free,education,good,0
313,69,unemployed,12389,20,free,furniture,good,0
314,28,unemployed,6781,11,free,furniture,good,0
315,66,skilled,5787,54,own,vacation,good,0
316,25,unskilled,7159,28,rent,education,bad,1
317,53,unemployed,2748,49,free,business,good,0
318,55,unskilled,2649,56,own,furniture,good,0
319,57,skilled,19940,47,own,car,bad,1
320,37,unemployed,14854,50,own,vacation,bad,1
321,52,skilled,14233,34,rent,business,good,0
322,65,unemployed,16218,6,own,business,good,0
323,42,unemployed,11380,10,rent,car,good,0
324,52,highly skilled,13668,14,own,business,good,0
325,42,unskilled,2696,20,rent,vacation,good,0
326,46,skilled,12154,54,own,education,good,0
327,35,highly skilled,17633,38,rent,furniture,good,0
328,63,unemployed,1546,29,free,vacation,good,0
329,35,unemployed,2479,42,free,vacation,good,0
330,19,skilled,11721,58,free,furniture,good,0
331,52,unskilled,4101,11,rent,business,good,0
332,33,skilled,10792,44,own,education,bad,1
333,58,unemployed,13190,16,rent,furniture,good,0
334,53,highly skilled,5299,30,own,vacation,bad,1
335,50,skilled,17932,23,free,car,bad,1
336,21,highly skilled,17645,27,rent,car,bad,1
337,50,unskilled,3235,46,own,vacation,good,0
338,31,unskilled,1901,19,free,car,bad,1
339,38,highly skilled,7879,15,free,vacation,good,0
340,65,unskilled,15711,22,own,car,good,0
341,37,highly skilled,8292,34,own,furniture,good,0
342,25,highly skilled,10888,11,own,furniture,good,0
343,24,highly skilled,13614,12,rent,furniture,good,0
344,20,unskilled,16235,10,free,business,bad,1
345,34,highly skilled,3648,32,own,business,good,0
346,50,unskilled,5121,40,free,business,bad,1
347,65,highly skilled,3506,22,rent,car,good,0
348,29,highly skilled,9257,12,free,education,bad,1
349,68,unskilled,2288,6,rent,car,good,0
350,39,highly skilled,10691,20,free,vacation,good,0
351,39,highly skilled,7328,43,rent,business,bad,1
352,63,unskilled,1445,54,free,business,good,0
353,47,unemployed,18926,16,rent,furniture,good,0
354,55,skilled,8348,57,own,furniture,good,0
355,55,unskilled,9199,31,own,car,good,0
356,62,highly skilled,15602,48,rent,furniture,good,0
357,68,skilled,5248,58,free,education,good,0
358,25,skilled,11737,54,rent,education,good,0
359,44,highly skilled,5745,48,own,vacation,good,0
360,44,highly skilled,6382,19,free,vacation,good,0
361,51,unemployed,10220,18,rent,education,bad,1
362,38,highly skilled,5109,9,rent,car,good,0
363,47,skilled,1533,53,rent,car,good,0
364,50,highly skilled,5066,42,rent,vacation,bad,1
365,45,skilled,8041,38,rent,vacation,bad,1
366,64,unskilled,11537,19,rent,education,good,0
367,50,unskilled,9427,18,own,car,bad,1
368,22,skilled,7732,22,own,car,good,0
369,65,unskilled,2656,52,rent,business,good,0
370,36,unemployed,13853,44,own,car,good,0
371,21,skilled,7266,53,own,business,good,0
372,52,skilled,4623,11,rent,car,good,0
373,66,highly skilled,3110,27,rent,furniture,good,0
374,34,unemployed,13000,28,free,car,good,0
375,61,highly skilled,4208,42,own,business,good,0
376,45,unemployed,12941,41,own,business,bad,1
377,47,unemployed,19803,46,free,car,bad,1
378,46,unemployed,657,48,free,furniture,good,0
379,63,skilled,15755,50,free,business,good,0
380,23,unskilled,11033,40,own,vacation,good,0
381,52,unskilled,3937,37,free,vacation,bad,1
382,58,highly skilled,11523,6,free,business,bad,1
383,54,highly skilled,10973,9,rent,business,good,0
384,41,unskilled,10916,52,free,business,good,0
385,46,unskilled,1138,9,free,business,good,0
386,66,unemployed,19523,38,own,business,good,0
387,63,highly skilled,551,48,rent,car,bad,1
388,48,highly skilled,18355,39,free,car,good,0
389,52,highly skilled,8483,35,free,education,good,0
390,50,highly skilled,829,44,own,education,good,0
391,69,unskilled,12357,20,own,business,good,0
392,38,unskilled,9476,37,rent,business,bad,1
393,49,skilled,16412,31,free,furniture,good,0
394,40,skilled,15657,44,free,car,good,0
395,50,unskilled,17229,13,free,furniture,bad,1
396,20,unemployed,2701,31,own,business,good,0
397,35,unskilled,7813,22,free,car,good,0
398,42,unemployed,18389,35,own,education,good,0
399,59,highly skilled,4374,40,rent,education,good,0
400,48,skilled,10686,17,own,vacation,bad,1
401,20,unemployed,4456,11,free,furniture,good,0
402,57,highly skilled,8721,34,own,education,good,0
403,63,unskilled,7141,19,rent,car,bad,1
404,41,skilled,19425,6,rent,business,good,0
405,67,unskilled,11303,32,own,business,good,0
406,49,highly skilled,11959,44,free,vacation,bad,1
407,64,highly skilled,7383,11,own,car,bad,1
408,39,unskilled,17577,38,free,car,good,0
409,40,highly skilled,10734,52,own,car,good,0
410,19,highly skilled,2003,53,own,business,good,0
411,44,unemployed,677,49,rent,furniture,good,0
412,59,unskilled,15247,46,own,education,good,0
413,19,unskilled,16408,36,rent,education,good,0
414,43,skilled,10436,54,own,vacation,good,0
415,34,unemployed,17877,42,free,business,good,0
416,57,unemployed,5398,37,rent,furniture,good,0
417,50,highly skilled,19930,38,free,business,bad,1
418,26,skilled,5845,25,own,furniture,good,0
419,60,skilled,13819,10,own,education,good,0
420,65,unemployed,6550,52,free,vacation,bad,1
421,56,skilled,8688,22,free,vacation,good,0
422,46,unemployed,19913,38,rent,vacation,bad,1
423,59,skilled,1234,47,rent,vacation,good,0
424,43,unemployed,5968,28,own,education,bad,1
425,52,unemployed,7942,11,rent,business,good,0
426,67,highly skilled,17833,55,own,business,bad,1
427,42,highly skilled,14624,34,free,car,bad,1
428,41,skilled,9239,43,free,vacation,bad,1
429,30,highly skilled,16548,9,rent,vacation,good,0
430,24,unskilled,16559,43,own,education,good,0
431,53,unskilled,811,12,rent,education,good,0
432,62,skilled,9660,20,free,vacation,good,0
433,37,unemployed,2774,26,free,car,good,0
434,18,highly skilled,17966,21,own,business,good,0
435,25,skilled,11508,11,rent,education,bad,1
436,63,unskilled,5716,18,rent,business,good,0
437,33,unemployed,1220,13,rent,furniture,bad,1
438,31,highly skilled,8512,38,rent,furniture,good,0
439,29,unemployed,19192,8,free,furniture,good,0
440,68,unemployed,18310,52,rent,car,good,0
441,40,highly skilled,11820,51,free,business,bad,1
442,32,highly skilled,12445,28,rent,business,bad,1
443,45,unskilled,16956,13,free,education,good,0
444,51,unskilled,16249,25,free,furniture,good,0
445,19,unemployed,15688,35,rent,car,good,0
446,49,unemployed,11308,51,free,education,good,0
447,40,unskilled,4698,16,own,car,good,0
448,39,unskilled,9827,59,rent,business,good,0
449,68,unemployed,17702,25,rent,furniture,good,0
450,42,skilled,14584,7,free,education,bad,1
451,39,skilled,17801,39,rent,business,good,0
452,39,skilled,18414,22,own,vacation,bad,1
453,66,highly skilled,7475,20,free,education,good,0
454,69,unskilled,17933,6,own,vacation,good,0
455,59,skilled,13624,52,own,education,good,0
456,23,skilled,1427,10,own,business,good,0
457,32,unskilled,12284,39,free,vacation,bad,1
458,60,highly skilled,2345,10,rent,business,good,0
459,54,skilled,16079,45,free,business,bad,1
460,50,highly skilled,13494,50,own,business,bad,1
461,25,highly skilled,13981,13,free,vacation,good,0
462,61,unemployed,8656,9,free,education,good,0
463,61,unskilled,18811,48,rent,furniture,good,0
464,22,unemployed,17569,17,free,education,good,0
465,56,skilled,7223,41,rent,business,good,0
466,21,unemployed,638,49,own,furniture,good,0
467,23,unskilled,5838,35,own,furniture,good,0
468,62,highly skilled,16262,24,free,furniture,bad,1
469,49,highly skilled,9189,27,free,education,good,0
470,69,skilled,1548,33,rent,business,good,0
471,47,unskilled,9097,35,rent,business,good,0
472,64,highly skilled,5871,11,own,furniture,good,0
473,52,skilled,18634,46,free,education,bad,1
474,57,unskilled,11185,25,own,vacation,good,0
475,69,unskilled,7549,55,free,vacation,good,0
476,33,unemployed,18500,20,rent,car,good,0
477,30,highly skilled,9792,56,free,furniture,good,0
478,67,unskilled,17363,13,free,education,good,0
479,59,highly skilled,2209,42,free,education,bad,1
480,47,highly skilled,5762,33,rent,vacation,good,0
481,36,unskilled,15478,16,free,vacation,bad,1
482,34,highly skilled,5956,11,rent,business,good,0
483,36,unemployed,17336,32,rent,furniture,good,0
484,45,skilled,16123,47,rent,vacation,good,0
485,43,skilled,1869,16,free,car,good,0
486,54,unskilled,11125,24,free,education,good,0
487,43,unemployed,6808,17,own,business,bad,1
488,40,skilled,8063,22,rent,education,good,0
489,26,unemployed,1030,13,free,vacation,bad,1
490,29,unskilled,7438,58,free,education,bad,1
491,18,unemployed,11189,36,own,business,bad,1
492,18,unskilled,2051,24,rent,furniture,bad,1
493,64,skilled,7157,48,rent,car,bad,1
494,51,skilled,17288,56,rent,business,good,0
495,49,skilled,1117,25,free,vacation,bad,1
496,65,skilled,18948,7,rent,car,good,0
497,42,highly skilled,12991,11,rent,furniture,good,0
498,57,unemployed,15866,46,free,business,good,0
499,62,unemployed,10428,32,free,furniture,good,0
500,18,unemployed,9725,53,free,vacation,good,0
501,33,unskilled,2292,23,rent,vacation,good,0
502,56,skilled,2736,25,rent,furniture,good,0
503,22,skilled,8099,14,free,furniture,bad,1
504,39,highly skilled,11025,8,own,education,good,0
505,46,highly skilled,18624,45,rent,education,good,0
506,20,skilled,1194,43,rent,vacation,bad,1
507,29,unemployed,16382,23,own,education,good,0
508,43,unemployed,3428,17,rent,business,bad,1
509,33,skilled,11175,53,own,furniture,good,0
510,68,unskilled,5586,24,rent,vacation,bad,1
511,54,unemployed,14302,31,free,car,bad,1
512,39,skilled,9022,38,rent,furniture,bad,1
513,46,skilled,1555,38,free,business,good,0
514,31,highly skilled,19909,11,free,education,bad,1
515,45,highly skilled,9807,59,free,business,good,0
516,22,skilled,4784,14,rent,business,good,0
517,64,unskilled,5697,15,rent,furniture,bad,1
518,66,skilled,7083,49,free,education,good,0
519,47,unemployed,617,58,free,vacation,bad,1
520,63,unskilled,14859,32,rent,furniture,good,0
521,69,unskilled,8207,22,free,furniture,bad,1
522,22,highly skilled,13566,57,rent,education,good,0
523,29,skilled,14566,25,rent,furniture,good,0
524,33,highly skilled,11727,59,free,education,bad,1
525,43,unemployed,14537,18,free,education,bad,1
526,43,highly skilled,14532,36,rent,furniture,bad,1
527,65,unemployed,8300,47,rent,furniture,bad,1
528,38,skilled,8903,22,own,furniture,bad,1
529,56,skilled,2100,56,rent,vacation,good,0
530,53,highly skilled,14239,54,free,business,good,0
531,50,highly skilled,8723,16,rent,education,good,0
532,47,highly skilled,14093,32,own,education,good,0
533,54,unemployed,6449,18,free,furniture,good,0
534,40,unskilled,5216,51,rent,vacation,bad,1
535,27,unskilled,16035,56,rent,vacation,good,0
536,22,highly skilled,1401,48,rent,business,bad,1
537,53,highly skilled,6505,57,rent,vacation,good,0
538,51,skilled,12561,45,free,vacation,good,0
539,69,highly skilled,7818,41,own,business,bad,1
540,48,skilled,11724,20,free,education,good,0
541,27,unemployed,16524,27,free,business,good,0
542,36,unemployed,3844,30,rent,furniture,good,0
543,49,unemployed,11359,24,free,car,good,0
544,18,unemployed,12921,34,own,business,good,0
545,22,highly skilled,10306,28,free,furniture,good,0
546,62,highly skilled,16227,24,rent,vacation,good,0
547,21,skilled,5310,8,rent,education,good,0
548,33,highly skilled,19037,24,free,furniture,good,0
549,41,skilled,9168,18,rent,vacation,good,0
550,33,unemployed,3515,38,free,business,good,0
551,19,skilled,12078,29,rent,business,good,0
552,66,skilled,3581,43,own,furniture,good,0
553,45,highly skilled,7924,40,rent,vacation,good,0
554,49,unemployed,14560,38,own,education,bad,1
555,44,unskilled,11466,50,rent,business,good,0
556,37,highly skilled,16714,54,free,car,good,0
557,41,highly skilled,16632,7,rent,business,good,0
558,29,unskilled,12659,24,own,vacation,good,0
559,67,unemployed,15721,44,own,business,good,0
560,52,unskilled,16232,52,own,car,bad,1
561,50,skilled,16720,38,rent,car,bad,1
562,50,unskilled,4643,32,free,furniture,good,0
563,68,unemployed,18092,55,rent,furniture,good,0
564,60,unemployed,10842,7,free,furniture,good,0
565,54,unskilled,1747,38,rent,business,good,0
566,29,highly skilled,8479,54,own,education,good,0
567,20,unskilled,18284,12,rent,education,bad,1
568,18,skilled,19914,15,rent,education,good,0
569,50,unskilled,4706,33,rent,business,good,0
570,57,unskilled,9013,30,free,education,good,0
571,27,unskilled,12403,36,free,education,good,0
572,60,skilled,5358,49,rent,car,good,0
573,61,unskilled,7653,18,own,car,good,0
574,46,highly skilled,3724,36,free,vacation,bad,1
575,30,skilled,10506,34,rent,car,bad,1
576,29,highly skilled,7580,45,rent,business,good,0
577,48,skilled,10132,14,own,education,bad,1
578,63,unemployed,8556,36,free,vacation,bad,1
579,19,unemployed,1680,46,rent,furniture,good,0
580,68,skilled,17763,34,own,business,good,0
581,67,skilled,7339,9,rent,business,good,0
582,52,skilled,18306,22,own,business,bad,1
583,40,unemployed,19736,22,rent,car,good,0
584,34,skilled,3462,24,free,car,good,0
585,43,unemployed,12779,56,own,car,good,0
586,25,unemployed,4006,53,rent,furniture,good,0
587,46,skilled,8939,8,free,vacation,good,0
588,43,skilled,19862,38,own,vacation,good,0
589,27,skilled,1997,42,free,car,bad,1
590,43,unemployed,12745,47,rent,car,bad,1
591,51,unskilled,18431,55,free,furniture,bad,1
592,68,skilled,18874,23,own,education,bad,1
593,58,unskilled,3646,26,free,vacation,good,0
594,24,unskilled,14914,29,rent,business,good,0
